field_1,Id,Cultivo,Longitud,Latitud,Elevacion,Dataset,Campania,GlobalId
"196","377",S,-61.919537534627707,-33.804185480221896,105.651428000000010,BC,18/19,"377"
"197","378",S,-61.920000680425098,-33.806032731367004,105.651428000000010,BC,18/19,"378"
"198","379",M,-61.800879581348894,-33.825080182532204,103.440048000000004,BC,18/19,"379"
"199","382",M,-61.793839765229301,-33.830889772785198,103.216118000000009,BC,18/19,"382"
"200","386",s,-61.783974759745902,-33.834890850394203,104.662368999999998,BC,18/19,"386"
"201","388",S,-61.870629338428500,-33.815807104816898,96.619315999999998,BC,18/19,"388"
"202","391",S,-61.827186262637902,-33.819924321519501,105.418159000000003,BC,18/19,"391"
"203","394",M,-61.816533909299004,-33.826234437185100,103.524024999999995,BC,18/19,"394"
"204","396",M,-61.699358022571708,-33.776240944475603,97.766991000000004,BC,18/19,"396"
"205","399",M,-61.695699170772706,-33.767578596733898,98.177543999999997,BC,18/19,"399"
"206","400",S,-61.692179262712898,-33.772737611531603,98.177543999999997,BC,18/19,"400"
"207","401",M,-61.690048792045097,-33.764729455431301,98.168212999999994,BC,18/19,"401"
"208","402",M,-61.686853086043499,-33.769503638583501,98.168212999999994,BC,18/19,"402"
"209","404",S,-61.722978458236106,-33.788828661744702,101.919150999999999,BC,18/19,"404"
"210","407",M,-61.715799698377296,-33.779667142512899,100.706160999999994,BC,18/19,"407"
"211","409",S,-61.709084084315798,-33.775009019552002,98.168212999999994,BC,18/19,"409"
"212","411",M,-61.657860159129896,-33.747363046550397,94.911796999999993,BC,18/19,"411"
"213","413",M,-61.652858184518607,-33.744628768123697,94.351958999999994,BC,18/19,"413"
"214","414",S,-61.647624637008704,-33.748710898202702,94.351958999999994,BC,18/19,"414"
"215","415",S,-61.645355222601701,-33.740392389962395,95.872855999999999,BC,18/19,"415"
"216","416",S,-61.641325854164798,-33.744513233313000,95.872855999999999,BC,18/19,"416"
"217","417",S,-61.640399562570103,-33.737850462634604,94.613213000000002,BC,18/19,"417"
"218","419",S,-61.682823717606603,-33.760609583613302,97.822975000000000,BC,18/19,"419"
"219","420",S,-61.677868057574997,-33.765037475273999,97.822975000000000,BC,18/19,"420"
"220","421",S,-61.675783901486994,-33.757221129412301,98.065574999999995,BC,18/19,"421"
"221","422",R,-61.672680824644793,-33.760917618262404,98.065574999999995,BC,18/19,"422"
"222","423",S,-61.672125049687999,-33.754487165327603,99.922379000000006,BC,18/19,"423"
"223","424",R,-61.668836714526904,-33.758992383543799,99.922379000000006,BC,18/19,"424"
"224","425",S,-61.662584246262796,-33.749789164271398,96.964554000000007,BC,18/19,"425"
"225","427",M,-61.716911248290899,-33.829312373414396,97.085845999999989,BC,18/19,"427"
"226","429",M,-61.719551179335696,-33.826080537464897,95.966164000000006,BC,18/19,"429"
"227","430",S,-61.715892327536707,-33.823541152090399,95.966164000000006,BC,18/19,"430"
"228","432",M,-61.718578573161295,-33.819077807168398,97.916282999999993,BC,18/19,"432"
"229","433",P,-61.727517287049999,-33.816730609917101,95.807548999999995,BC,18/19,"433"
"230","435",P,-61.709037769736099,-33.837660717491495,101.788521000000003,BC,18/19,"435"
"231","436",M,-61.706119951212905,-33.835429442693197,101.788521000000003,BC,18/19,"436"
"232","437",S,-61.710797723765999,-33.836622027849195,103.831940000000003,BC,18/19,"437"
"233","438",M,-61.707555703184603,-33.834313783450497,103.831940000000003,BC,18/19,"438"
"234","439",M,-61.712326104897201,-33.834621552972003,103.449379000000008,BC,18/19,"439"
"235","440",M,-61.708065163561706,-33.833236581398801,103.449379000000008,BC,18/19,"440"
"236","441",M,-61.713854486028396,-33.833351996553603,101.079383999999990,BC,18/19,"441"
"237","442",S,-61.710288263388904,-33.831159081964103,101.079383999999990,BC,18/19,"442"
"238","443",G,-61.736131798880606,-33.804070025701300,103.496032999999997,BC,18/19,"443"
